tid,task,dtnum
210000_211281,辽宁省_调兵,0
210000_211224,辽宁省_昌图,11
650000_650402,新疆维吾尔自治区_高昌,4
650000_650202,新疆维吾尔自治区_独山,1
650000_650203,新疆维吾尔自治区_克拉,22
650000_650421,新疆维吾尔自治区_鄯善,11
650000_650422,新疆维吾尔自治区_托克,5
650000_650204,新疆维吾尔自治区_白碱,1
650000_650102,新疆维吾尔自治区_天山,53
650000_650103,新疆维吾尔自治区_沙依,36
650000_650205,新疆维吾尔自治区_乌尔,1
650000_650109,新疆维吾尔自治区_米东,12
650000_650105,新疆维吾尔自治区_水磨,17
650000_650104,新疆维吾尔自治区_新市,21
650000_650106,新疆维吾尔自治区_头屯,1
640000_640502,宁夏回族自治区_沙坡,0
640000_640521,宁夏回族自治区_中宁,10
640000_640422,宁夏回族自治区_西吉,8
650000_650121,新疆维吾尔自治区_乌鲁,187
640000_640522,宁夏回族自治区_海原,4
640000_640402,宁夏回族自治区_原州,11
640000_640423,宁夏回族自治区_隆德,5
650000_650107,新疆维吾尔自治区_达坂,0
640000_640302,宁夏回族自治区_利通,21
640000_640424,宁夏回族自治区_泾源,5
640000_640425,宁夏回族自治区_彭阳,4
640000_640202,宁夏回族自治区_大武,11
640000_640303,宁夏回族自治区_红寺,6
640000_640324,宁夏回族自治区_同心,12
640000_640381,宁夏回族自治区_青铜,9
640000_640323,宁夏回族自治区_盐池,5
640000_640205,宁夏回族自治区_惠农,10
640000_640105,宁夏回族自治区_西夏,3
640000_640121,宁夏回族自治区_永宁,3
640000_640221,宁夏回族自治区_平罗,13
640000_640122,宁夏回族自治区_贺兰,10
640000_640106,宁夏回族自治区_金凤,6
640000_640181,宁夏回族自治区_灵武,16
640000_640104,宁夏回族自治区_兴庆,25
630000_632323,青海省_泽库,1
630000_632322,青海省_尖扎,2
630000_632324,青海省_河南,3
630000_632221,青海省_门源,4
630000_632222,青海省_祁连,6
630000_632321,青海省_同仁,8
630000_632224,青海省_刚察,3
630000_632223,青海省_海晏,9
630000_630202,青海省_乐都,10
630000_630203,青海省_平安,6
630000_630223,青海省_互助,8
630000_630224,青海省_化隆,6
630000_630222,青海省_民和,13
630000_630225,青海省_循化,1
630000_630102,青海省_城东,17
630000_630105,青海省_城北,5
630000_630122,青海省_湟中,1
630000_630123,青海省_湟源,2
630000_630103,青海省_城中,7
630000_630104,青海省_城西,18
210000_211102,辽宁省_双台,19
630000_630121,青海省_大通,17
210000_211103,辽宁省_兴隆,31
210000_211002,辽宁省_白塔,14
210000_211003,辽宁省_文圣,13
210000_211005,辽宁省_弓长,3
210000_211104,辽宁省_大洼,5
210000_211011,辽宁省_太子,8
210000_211004,辽宁省_宏伟,2
210000_211122,辽宁省_盘山,5
210000_211021,辽宁省_辽阳,57
210000_210902,辽宁省_海州,16
210000_210904,辽宁省_太平,8
210000_211081,辽宁省_灯塔,8
210000_210911,辽宁省_细河,5
210000_210922,辽宁省_彰武,7
210000_210921,辽宁省_阜新,42
210000_210903,辽宁省_新邱,2
210000_210804,辽宁省_鲅鱼,2
210000_210802,辽宁省_站前,27
210000_210811,辽宁省_老边,4
210000_210803,辽宁省_西市,3
210000_210881,辽宁省_盖州,19
210000_210882,辽宁省_大石,13
210000_210702,辽宁省_古塔,16
210000_210703,辽宁省_凌河,20
210000_210726,辽宁省_黑山,17
210000_210711,辽宁省_太和,22
210000_210727,辽宁省_义县,6
150000_152502,内蒙古自治区_锡林,110
150000_152501,内蒙古自治区_二连,5
210000_210781,辽宁省_凌海,14
210000_210782,辽宁省_北镇,14
150000_152522,内蒙古自治区_阿巴,62
150000_152523,内蒙古自治区_苏尼,29
150000_152525,内蒙古自治区_东乌,29
150000_152526,内蒙古自治区_西乌,30
150000_152528,内蒙古自治区_镶黄,29
150000_152529,内蒙古自治区_正镶,62
150000_152527,内蒙古自治区_太仆,59
150000_152530,内蒙古自治区_正蓝,16
150000_152531,内蒙古自治区_多伦,35
210000_210602,辽宁省_元宝,6
210000_210603,辽宁省_振兴,34
210000_210604,辽宁省_振安,9
150000_152571,内蒙古自治区_乌拉,188
210000_210681,辽宁省_东港,15
210000_210624,辽宁省_宽甸,13
210000_210682,辽宁省_凤城,17
210000_210502,辽宁省_平山,11
210000_210503,辽宁省_溪湖,7
210000_210505,辽宁省_南芬,2
210000_210504,辽宁省_明山,15
210000_210521,辽宁省_本溪,48
150000_152221,内蒙古自治区_科尔,1238
150000_152201,内蒙古自治区_乌兰,639
150000_152202,内蒙古自治区_阿尔,51
210000_210522,辽宁省_桓仁,7
150000_150921,内蒙古自治区_卓资,7
150000_152223,内蒙古自治区_扎赉,63
150000_150902,内蒙古自治区_集宁,114
150000_152224,内蒙古自治区_突泉,43
150000_150922,内蒙古自治区_化德,49
150000_150924,内蒙古自治区_兴和,5
150000_150926,内蒙古自治区_察哈,218
150000_150925,内蒙古自治区_凉城,4
150000_150923,内蒙古自治区_商都,240
150000_150929,内蒙古自治区_四子,125
150000_150981,内蒙古自治区_丰镇,16
150000_150802,内蒙古自治区_临河,119
150000_150821,内蒙古自治区_五原,41
150000_150822,内蒙古自治区_磴口,41
150000_150826,内蒙古自治区_杭锦,86
150000_150723,内蒙古自治区_鄂伦,61
150000_150702,内蒙古自治区_海拉,71
150000_150721,内蒙古自治区_阿荣,78
150000_150722,内蒙古自治区_莫力,107
150000_150724,内蒙古自治区_鄂温,66
150000_150726,内蒙古自治区_新巴,17
150000_150725,内蒙古自治区_陈巴,16
150000_150781,内蒙古自治区_满洲,19
150000_150782,内蒙古自治区_牙克,35
150000_150784,内蒙古自治区_额尔,63
150000_150783,内蒙古自治区_扎兰,105
150000_150602,内蒙古自治区_东胜,71
